,task,step,participant_id,created_at,acceptable,reasoning,take,fpv_filepath,fpv_circle_filepath,fpv_attention_filepath,tpv_filepath,instructions,question,correct_answer,gemini_answer,gemini_acceptable,ablation_setting,qa_id
27,Versäubern,Maschineneinstellungen,0,2024-06-17T21:03:08.039042+00:00,,['KNOWLEDGE'],0,fpv_out/participant-0-Versaeubern-Maschineneinstellungen-take-0.mp4,fpv_circle_out/participant-0-Versaeubern-Maschineneinstellungen-take-0.mp4,fpv_attention_out/participant-0-Versaeubern-Maschineneinstellungen-take-0.mp4,tpv_out/participant-0-Versaeubern-Maschineneinstellungen-take-0.mp4,"- Die Stichart mithilfe des Stichauswahlrads auf Zickzack-Stich setzen.
    - Die Stichlänge am Stichlängeneinstellrad je nach Wunsch auf ca. 2,5 bis 2 mm einstellen.
    - Die Stichbreite am Stichbreiteneinstellrad für den Zickzack-Stich auf 6 mm setzen.

\newpage",Welche Stichart soll ausgewählt werden?,Es soll ein Zickzack-Stich gesetzt werden.,"Das kann man ohne mehr Kontext nicht beantworten. Die Wahl des Stichmusters hängt vom Stoff und dem Nähprojekt ab. 
",0,naive baseline,117
28,Elastische Stoffe (Richtig),Vernähen,0,2024-06-17T22:21:02.955439+00:00,,['KNOWLEDGE'],1,fpv_out/participant-0-Elastische Stoffe (Richtig)-Vernaehen-take-1.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Richtig)-Vernaehen-take-1.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Richtig)-Vernaehen-take-1.mp4,tpv_out/participant-0-Elastische Stoffe (Richtig)-Vernaehen-take-1.mp4,"
    - Durch Betätigen des Fußpedals mit dem Nähen beginnen.
    - Ein Mal bis zum Ende vorwärts nähen, um die Naht zu sichern.

",Wie beginne ich mit dem Nähen?,Durch betätigen des Fußpedals.,"Um mit dem Nähen zu beginnen wird der Nähfuß mit dem Hebel angehoben und Stoff unter die Nadel gelegt. 
",0,naive baseline,153
29,Aufspulen,Fadenführung während des Spulens (optional),0,2024-06-14T19:29:25.159322+00:00,,['KNOWLEDGE'],0,fpv_out/participant-0-Aufspulen-Fadenfuehrung waehrend des Spulens (optional)-take-0.mp4,fpv_circle_out/participant-0-Aufspulen-Fadenfuehrung waehrend des Spulens (optional)-take-0.mp4,fpv_attention_out/participant-0-Aufspulen-Fadenfuehrung waehrend des Spulens (optional)-take-0.mp4,tpv_out/participant-0-Aufspulen-Fadenfuehrung waehrend des Spulens (optional)-take-0.mp4,"
    - Den Faden leicht zwischen Daumen und Zeigefinger vor der Unterspule führen, um ein gleichmäßiges Aufspulen zu gewährleisten.
    - Dabei den Faden nicht zu straff halten, um eine gleichmäßige Wicklung zu erzielen.

",Worauf sollte man beim Aufspuhlen achten?,Dass man den Faden leicht zwischen Daumen und Zeigefinger vor der Unterspule führt.,"Um Garn korrekt aufzuwickeln, sollte der Nähfuß oben sein und die Nadel durch Drehen des Handrads in die höchste Position gebracht werden. 
",0,naive baseline,70
30,Geradeausstich,Nähen,0,2024-06-17T17:27:22.561663+00:00,,['KNOWLEDGE'],0,fpv_out/participant-0-Geradeausstich-Naehen-take-0.mp4,fpv_circle_out/participant-0-Geradeausstich-Naehen-take-0.mp4,fpv_attention_out/participant-0-Geradeausstich-Naehen-take-0.mp4,tpv_out/participant-0-Geradeausstich-Naehen-take-0.mp4,"
    - Durch Drücken des Fußpedals mit dem Nähen beginnen; nur ein kurzes Stück vorwärts nähen und dann anhalten.
    - Den Rückwärtsnähen-Knopf oder Hebel betätigen.
    - Durch Drücken des Fußpedals bis zum Nahtbeginn nach hinten nähen, um den Nahtanfang durch Vernähen zu sichern.
    - Nach dem Vernähen den Rückwärtsnähen-Knopf oder Hebel erneut betätigen und die Naht bis zum gewünschten Ende vorwärts nähen.
    - Zum Abschluss der Naht, den Rückwärtsnähen-Knopf oder Hebel erneut nutzen, um das Nahtende zu sichern.

",Warum wird zu Beginn der Naht ein Stück rückwärts genäht?,Damit der Anfang der Naht gesichert wird und nicht wieder aufgeht.,"Um zu verhindern, dass sich die Naht löst, wird zu Beginn und am Ende ein Stück rückwärts genäht. 
",1,naive baseline,76
31,Aufspulen,Vorbereitung der Spulen,0,2024-06-14T17:08:13.633925+00:00,,['KNOWLEDGE'],0,fpv_out/participant-0-Aufspulen-Vorbereitung der Spulen-take-0.mp4,fpv_circle_out/participant-0-Aufspulen-Vorbereitung der Spulen-take-0.mp4,fpv_attention_out/participant-0-Aufspulen-Vorbereitung der Spulen-take-0.mp4,tpv_out/participant-0-Aufspulen-Vorbereitung der Spulen-take-0.mp4,"
    - 
        Oberspule (Quelle):
        
            - Die Oberspule auf dem dafür vorgesehenen Spulenstift platzieren.
            - Einen geeigneten Spulenhalter auf dem Stift befestigen, um zu verhindern, dass die Oberspule während des Aufspulens wackelt.
            - Größe des Stoppers anhand des Durchmessers der Oberspule wählen.
        
    
    - 
        Unterspule (Ziel):
        
            - Die leere Unterspule auf den Spulenwickelstift setzen.
        
    

",Wie wird die leere Unterspule für das Aufspulen vorbereitet?,Die leere Unterspule wird auf den Spulenwikelstift gesetzt.,"Um die leere Unterspule für das Aufspulen vorzubereiten, wird der Faden durch die Fadenführung und um die Spulenkapsel herumgeführt. 
",0,naive baseline,51
32,Elastische Stoffe (Falsch),Vernähen,0,2024-06-14T15:56:35.068369+00:00,,['KNOWLEDGE'],0,fpv_out/participant-0-Elastische Stoffe (Falsch)-Vernaehen-take-0.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Falsch)-Vernaehen-take-0.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Falsch)-Vernaehen-take-0.mp4,tpv_out/participant-0-Elastische Stoffe (Falsch)-Vernaehen-take-0.mp4,"
    - Durch Betätigen des Fußpedals mit dem Nähen beginnen; nur ein kurzes Stück vorwärts nähen und dann anhalten.
    - Versuchen mithilfe des Rückwärtsnähknopfs oder -hebels den Nahtanfang durch Vor- und Zurücknähen sichern.


$\rightarrow$ Vernähen misslingt; Stoff wird von der Maschine eingezogen.
",Sollte ich beim Nahtanfang Vor und Zurücknähen Vor und Zurücknähen?,"Nein, Vor und Zurücknähen Vor und Zurücknähen ist nicht empfehlenswert.","Um eine Naht zu verriegeln, genügt es am Anfang und Ende der Naht einmal vor- und zurückzunähen. 
",0,naive baseline,12
33,Einfädeln Unterspule,Entfernung der Spulenabdeckung,0,2024-06-17T21:51:15.678359+00:00,,['KNOWLEDGE'],0,fpv_out/participant-0-Einfaedeln Unterspule-Entfernung der Spulenabdeckung-take-0.mp4,fpv_circle_out/participant-0-Einfaedeln Unterspule-Entfernung der Spulenabdeckung-take-0.mp4,fpv_attention_out/participant-0-Einfaedeln Unterspule-Entfernung der Spulenabdeckung-take-0.mp4,tpv_out/participant-0-Einfaedeln Unterspule-Entfernung der Spulenabdeckung-take-0.mp4,"
    - Nähfuß mithilfe des Nähfußhebels anheben.
    - Spulenabdeckung mithilfe des entsprechenden Hebels entriegeln.
    - Die Spulenabdeckung öffnen, um Zugang zum Spulenkorb zu erhalten.

",Wie öffne ich die Spulenabdeckung?,Durch ein entriegeln mittels des vorhandenen Hebels.,"Um die Spulenabdeckung zu öffnen, drücke auf den Verriegelungsknopf oder schiebe den Verriegelungsschieber zur Seite.
",0,naive baseline,139
34,Elastische Stoffe (Richtig),Vorbereitung (2),0,2024-06-17T22:03:52.871745+00:00,,['KNOWLEDGE'],1,fpv_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,tpv_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,"- Den Nähfuß mit dem Nähfußhebel anheben.
    - Die bereits genähte Naht etwa 1 cm vor dem Nahtende unter der Nadel positionieren.
    - Den Nähfuß mithilfe des Nähfußhebels absenken.
    - Das Handrad in Nutzerrichtung drehen, um die Nadel manuell in den Stoff einzustechen.",Wie wird der Nähfuß abgesenkt?,Der Nähfuß wird mithilfe des Nähfußhebels abgesenkt.,"Um den Nähfuß abzusenken, wird der Nähfußhebel betätigt. 
",1,naive baseline,142
35,Geradeausstich,Nähen,0,2024-06-17T17:27:22.561663+00:00,,['KNOWLEDGE'],0,fpv_out/participant-0-Geradeausstich-Naehen-take-0.mp4,fpv_circle_out/participant-0-Geradeausstich-Naehen-take-0.mp4,fpv_attention_out/participant-0-Geradeausstich-Naehen-take-0.mp4,tpv_out/participant-0-Geradeausstich-Naehen-take-0.mp4,"
    - Durch Drücken des Fußpedals mit dem Nähen beginnen; nur ein kurzes Stück vorwärts nähen und dann anhalten.
    - Den Rückwärtsnähen-Knopf oder Hebel betätigen.
    - Durch Drücken des Fußpedals bis zum Nahtbeginn nach hinten nähen, um den Nahtanfang durch Vernähen zu sichern.
    - Nach dem Vernähen den Rückwärtsnähen-Knopf oder Hebel erneut betätigen und die Naht bis zum gewünschten Ende vorwärts nähen.
    - Zum Abschluss der Naht, den Rückwärtsnähen-Knopf oder Hebel erneut nutzen, um das Nahtende zu sichern.

",Warum wird zu Beginn der Naht ein Stück rückwärts genäht?,Damit der Anfang der Naht gesichert wird und nicht wieder aufgeht.,"Um zu verhindern, dass sich die Naht wieder löst, wird zu Beginn ein Stück rückwärts genäht, wodurch der Faden verriegelt wird. 
",1,naive baseline,76
36,Geradeausstich,Maschineneinstellungen,0,2024-06-17T21:42:03.940699+00:00,,['KNOWLEDGE'],0,fpv_out/participant-0-Geradeausstich-Maschineneinstellungen-take-0.mp4,fpv_circle_out/participant-0-Geradeausstich-Maschineneinstellungen-take-0.mp4,fpv_attention_out/participant-0-Geradeausstich-Maschineneinstellungen-take-0.mp4,tpv_out/participant-0-Geradeausstich-Maschineneinstellungen-take-0.mp4,"- Die Stichlänge am Stichlängeneinstellrad je nach Stoff auf 3 bis 2,5 mm einstellen.
    - Die Stichart mithilfe des Stichauswahlrads auf Geradeaus-Stich setzen.
    - Die Stichbreite für den Geradeaus-Stich am Stichbreiteneinstellrad auf 0 mm setzen.
    - Die Nadelposition am Nadelpositionierungseinstellrad mittig über dem Nähfuß einstellen.
    - Die Fadenspannung am Fadenspannungseinstellrad in der Regel unverändert lassen; lediglich als letzte Maßnahme bei schlechter Stichqualität Korrektur vornehmen.",Wo stelle ich den Geradeausstich bei der Maschine ein?,an dem Stichauswahlrad.,"Um den Geradstich einzustellen, wird der Stichwähler auf das Symbol für den Geradstich eingestellt. 
",1,naive baseline,134
37,Einfädeln Unterspule,Entfernung der Spulenabdeckung,0,2024-06-14T19:33:51.301878+00:00,,['KNOWLEDGE'],0,fpv_out/participant-0-Einfaedeln Unterspule-Entfernung der Spulenabdeckung-take-0.mp4,fpv_circle_out/participant-0-Einfaedeln Unterspule-Entfernung der Spulenabdeckung-take-0.mp4,fpv_attention_out/participant-0-Einfaedeln Unterspule-Entfernung der Spulenabdeckung-take-0.mp4,tpv_out/participant-0-Einfaedeln Unterspule-Entfernung der Spulenabdeckung-take-0.mp4,"
    - Nähfuß mithilfe des Nähfußhebels anheben.
    - Spulenabdeckung mithilfe des entsprechenden Hebels entriegeln.
    - Die Spulenabdeckung öffnen, um Zugang zum Spulenkorb zu erhalten.

",Wozu muss man die Spulenabdeckung öffnen?,Um Zugang zum Spulenkorb zu erhalten.,"Um die Spule der Nähmaschine einzusetzen oder zu entfernen, muss man die Spulenabdeckung öffnen. 
",1,naive baseline,75
38,Einfädeln Unterspule,Entfernung der Spulenabdeckung,0,2024-06-14T19:33:10.037027+00:00,,['KNOWLEDGE'],0,fpv_out/participant-0-Einfaedeln Unterspule-Entfernung der Spulenabdeckung-take-0.mp4,fpv_circle_out/participant-0-Einfaedeln Unterspule-Entfernung der Spulenabdeckung-take-0.mp4,fpv_attention_out/participant-0-Einfaedeln Unterspule-Entfernung der Spulenabdeckung-take-0.mp4,tpv_out/participant-0-Einfaedeln Unterspule-Entfernung der Spulenabdeckung-take-0.mp4,"
    - Nähfuß mithilfe des Nähfußhebels anheben.
    - Spulenabdeckung mithilfe des entsprechenden Hebels entriegeln.
    - Die Spulenabdeckung öffnen, um Zugang zum Spulenkorb zu erhalten.

",Womit wird die Spulenabdeckung entriegelt?,Mithilfe des entsprechenenden Hebels.,"Um die Spulenabdeckung zu entriegeln, wird der Verriegelungsknopf oder -hebel nach rechts oder links gedrückt. 
",1,naive baseline,74
39,Aufspulen,Spulvorgang starten,0,2024-06-17T17:46:05.144739+00:00,,['KNOWLEDGE'],0,fpv_out/participant-0-Aufspulen-Spulvorgang starten-take-0.mp4,fpv_circle_out/participant-0-Aufspulen-Spulvorgang starten-take-0.mp4,fpv_attention_out/participant-0-Aufspulen-Spulvorgang starten-take-0.mp4,tpv_out/participant-0-Aufspulen-Spulvorgang starten-take-0.mp4,"
    - Den Spulenwickelstift der Unterspule nach rechts drücken, um den Spulvorgang zu aktivieren.
    - (Je nach Maschine möglicherweise Betätigung eines zusätzlichen Hebels notwendig.)
    - Das Fußpedal betätigen, um den Faden aufzuspulen.

","Kann es vorkommen, dass mehr als ein Schritt zur Aktivierung des Spulvorgangs nötig ist?","Ja, abhängig von der Art der Nähmaschine muss gegebenfalls ein weiterer Hebel betätigt werden.","Um den Spulvorgang zu aktivieren, kann es erforderlich sein, die Nadelposition über einen separaten Hebel oder Knopf zu ändern. 
",0,naive baseline,87
40,Aufspulen,Spulvorgang starten,0,2024-06-17T17:44:49.066192+00:00,,['KNOWLEDGE'],0,fpv_out/participant-0-Aufspulen-Spulvorgang starten-take-0.mp4,fpv_circle_out/participant-0-Aufspulen-Spulvorgang starten-take-0.mp4,fpv_attention_out/participant-0-Aufspulen-Spulvorgang starten-take-0.mp4,tpv_out/participant-0-Aufspulen-Spulvorgang starten-take-0.mp4,"
    - Den Spulenwickelstift der Unterspule nach rechts drücken, um den Spulvorgang zu aktivieren.
    - (Je nach Maschine möglicherweise Betätigung eines zusätzlichen Hebels notwendig.)
    - Das Fußpedal betätigen, um den Faden aufzuspulen.

",Mit welchem Teil der Nähmaschine wird das eigentliche Aufspulen gestartet?,Mit dem Fußpedal.,"Um das Aufspulen zu starten, wird der Spulerstopphebel betätigt. 
",0,naive baseline,86
41,Elastische Stoffe (Richtig),Abschluss (1),0,2024-06-17T22:18:47.728082+00:00,,['KNOWLEDGE'],1,fpv_out/participant-0-Elastische Stoffe (Richtig)-Abschluss (1)-take-1.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Richtig)-Abschluss (1)-take-1.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Richtig)-Abschluss (1)-take-1.mp4,tpv_out/participant-0-Elastische Stoffe (Richtig)-Abschluss (1)-take-1.mp4,"
    - Den Nähfuß mit dem Nähfußhebel anheben.
    - Das Stoffstück zur linken Seite wegziehen.
    - Sollte der Stoff spannen, das Handrad drehen, um die Spannung zu lösen und das Wegziehen des Stoffstücks zu erleichtern.
    - Die Fäden mit dem integrierten Fadenschneider der Maschine abschneiden.


$\rightarrow$ Der Zickzack-Stich erlaubt Dehnung des elastischen Stoffes und verhindert Reißen der Naht.
",Welchen Stich sollte ich für Elastische Stoffe verwenden?,Einen Zickzack-Stich.,"Um elastische Stoffe zu nähen, wird ein Zickzackstich oder ein Overlockstich verwendet. 
",1,naive baseline,150
42,Aufspulen,Spulvorgang starten,0,2024-06-17T17:44:49.066192+00:00,,['KNOWLEDGE'],0,fpv_out/participant-0-Aufspulen-Spulvorgang starten-take-0.mp4,fpv_circle_out/participant-0-Aufspulen-Spulvorgang starten-take-0.mp4,fpv_attention_out/participant-0-Aufspulen-Spulvorgang starten-take-0.mp4,tpv_out/participant-0-Aufspulen-Spulvorgang starten-take-0.mp4,"
    - Den Spulenwickelstift der Unterspule nach rechts drücken, um den Spulvorgang zu aktivieren.
    - (Je nach Maschine möglicherweise Betätigung eines zusätzlichen Hebels notwendig.)
    - Das Fußpedal betätigen, um den Faden aufzuspulen.

",Mit welchem Teil der Nähmaschine wird das eigentliche Aufspulen gestartet?,Mit dem Fußpedal.,"Um das Aufspulen zu starten, wird der Spulerstopper betätigt. 
",0,naive baseline,86
43,Elastische Stoffe (Richtig),Vernähen,0,2024-06-17T22:21:24.173118+00:00,,['KNOWLEDGE'],1,fpv_out/participant-0-Elastische Stoffe (Richtig)-Vernaehen-take-1.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Richtig)-Vernaehen-take-1.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Richtig)-Vernaehen-take-1.mp4,tpv_out/participant-0-Elastische Stoffe (Richtig)-Vernaehen-take-1.mp4,"
    - Durch Betätigen des Fußpedals mit dem Nähen beginnen.
    - Ein Mal bis zum Ende vorwärts nähen, um die Naht zu sichern.

",Wie sichere ich die Naht?,Ein mal bis zum Ende vorwärts nähen.,"Um eine Naht zu sichern, wird am Anfang und Ende der Naht einige Stiche vorwärts und rückwärts genäht. 
",0,naive baseline,154
44,Aufspulen,Spulvorgang starten,0,2024-06-17T17:44:49.066192+00:00,,['KNOWLEDGE'],0,fpv_out/participant-0-Aufspulen-Spulvorgang starten-take-0.mp4,fpv_circle_out/participant-0-Aufspulen-Spulvorgang starten-take-0.mp4,fpv_attention_out/participant-0-Aufspulen-Spulvorgang starten-take-0.mp4,tpv_out/participant-0-Aufspulen-Spulvorgang starten-take-0.mp4,"
    - Den Spulenwickelstift der Unterspule nach rechts drücken, um den Spulvorgang zu aktivieren.
    - (Je nach Maschine möglicherweise Betätigung eines zusätzlichen Hebels notwendig.)
    - Das Fußpedal betätigen, um den Faden aufzuspulen.

",Mit welchem Teil der Nähmaschine wird das eigentliche Aufspulen gestartet?,Mit dem Fußpedal.,"Um das Aufspulen zu starten, wird der Spulerstopphebel betätigt. 
",0,naive baseline,86
45,Elastische Stoffe (Falsch),Nähen,0,2024-06-17T20:44:02.038055+00:00,,['KNOWLEDGE'],1,fpv_out/participant-0-Elastische Stoffe (Falsch)-Naehen-take-1.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Falsch)-Naehen-take-1.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Falsch)-Naehen-take-1.mp4,tpv_out/participant-0-Elastische Stoffe (Falsch)-Naehen-take-1.mp4,"
    - Durch Betätigen des Fußpedals mit dem Nähen beginnen.
    - Auf Vernähen des Nahtbeginns verzichten.
    - Die Naht bis zum gewünschten Ende vorwärts nähen.

",Wie funktioniert das Nähen von elastischen Stoffen?,"Zuerst wird das Fußpedal betätigt um mit dem Nähen anzufangen, die Naht wird dann bis zum gewünschten Ende genäht.","Um elastische Stoffe zu nähen, wird eine Jerseynadel und ein Zickzackstich verwendet. 
",0,naive baseline,109
46,Aufspulen,Vorbereitung der Spulen,0,2024-06-14T17:04:29.323461+00:00,,['KNOWLEDGE'],0,fpv_out/participant-0-Aufspulen-Vorbereitung der Spulen-take-0.mp4,fpv_circle_out/participant-0-Aufspulen-Vorbereitung der Spulen-take-0.mp4,fpv_attention_out/participant-0-Aufspulen-Vorbereitung der Spulen-take-0.mp4,tpv_out/participant-0-Aufspulen-Vorbereitung der Spulen-take-0.mp4,"
    - 
        Oberspule (Quelle):
        
            - Die Oberspule auf dem dafür vorgesehenen Spulenstift platzieren.
            - Einen geeigneten Spulenhalter auf dem Stift befestigen, um zu verhindern, dass die Oberspule während des Aufspulens wackelt.
            - Größe des Stoppers anhand des Durchmessers der Oberspule wählen.
        
    
    - 
        Unterspule (Ziel):
        
            - Die leere Unterspule auf den Spulenwickelstift setzen.
        
    

","Wo wird die Oberspule platziert, bevor mit dem Aufspulen begonnen wird?",Die Oberspule wird auf dem dafür vorgesehenen Spulenstift platziert.,"Um die Oberspule vor dem Aufspulen zu platzieren, wird sie auf den Garnrollenstift gesteckt. 
",1,naive baseline,48
47,Einfädeln Oberspule,Führung des Oberfadens,0,2024-06-14T16:54:32.729743+00:00,,['KNOWLEDGE'],0,fpv_out/participant-0-Einfaedeln Oberspule-Fuehrung des Oberfadens-take-0.mp4,fpv_circle_out/participant-0-Einfaedeln Oberspule-Fuehrung des Oberfadens-take-0.mp4,fpv_attention_out/participant-0-Einfaedeln Oberspule-Fuehrung des Oberfadens-take-0.mp4,tpv_out/participant-0-Einfaedeln Oberspule-Fuehrung des Oberfadens-take-0.mp4,"
    - Den Oberfaden von der Spule bis zum Nähfuß entsprechend den Markierungen auf der Maschine durch die vorgegebenen Fadenführungen leiten.
    - Dabei den Fadenheber durch manuelles Drehen des Handrads in die höchste Position bringen.
    - Zuletzt den Oberfaden durch die Einfädelhilfe am Nähfuß leiten (sofern vorhanden).

",Wie wird der Oberfaden von der spule bis zum Nähfuß geführt,Der Oberfaden wird von der Spule bis zum Nähfuß entsprechend den Markierungen auf der Maschine durch die vorgegebenen Fadenführungen geleitet,"Um den Oberfaden von der Spule bis zum Nähfuß zu führen, wird dieser durch den Fadenhebel, die Fadenspannungsscheiben, den Fadenanlasser und schließlich durch die Öse des Nähfußes gefädelt. 
",0,naive baseline,41
